Done,Topic,Name,Confidence,Notes,URL,Week
"",Dynamic Programming,"Unique Paths","","",https://leetcode.com/problems/unique-paths, 4
"",Binary Tree,"Construct Binary Tree from Preorder and Inorder Traversal","","",https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal, 4
"",Array,"Container With Most Water","","",https://leetcode.com/problems/container-with-most-water, 4
"",Recursion,"Letter Combinations of a Phone Number","","",https://leetcode.com/problems/letter-combinations-of-a-phone-number, 4
"",Graph,"Word Search","","",https://leetcode.com/problems/word-search, 4

"",String,"Find All Anagrams in a String","","",https://leetcode.com/problems/find-all-anagrams-in-a-string, 5
"",Graph,"Minimum Height Trees","","",https://leetcode.com/problems/minimum-height-trees, 5
"",Heap,"Task Scheduler","","",https://leetcode.com/problems/task-scheduler, 5
"",Linked List,"LRU Cache","","",https://leetcode.com/problems/lru-cache, 5
"",Binary Search Tree,"Kth Smallest Element in a BST","","",https://leetcode.com/problems/kth-smallest-element-in-a-bst, 5
"",Stack,"Daily Temperatures","","",https://leetcode.com/problems/daily-temperatures, 5
"",Dynamic Programming,"House Robber","","",https://leetcode.com/problems/house-robber, 5
"",Array,"Gas Station","","",https://leetcode.com/problems/gas-station, 5
"",Recursion,"Next Permutation","","",https://leetcode.com/problems/next-permutation, 5
"",Matrix,"Valid Sudoku","","",https://leetcode.com/problems/valid-sudoku, 5
"",String,"Group Anagrams","","",https://leetcode.com/problems/group-anagrams, 5
"",Dynamic Programming,"Maximum Product Subarray","","",https://leetcode.com/problems/maximum-product-subarray, 5
"",Trie,"Design Add and Search Words Data Structure","","",https://leetcode.com/problems/design-add-and-search-words-data-structure, 5
"",Graph,"Pacific Atlantic Water Flow","","",https://leetcode.com/problems/pacific-atlantic-water-flow, 5
"",Linked List,"Remove Nth Node From End of List","","",https://leetcode.com/problems/remove-nth-node-from-end-of-list, 5

"",Graph,"Shortest Path to Get Food","","",https://leetcode.com/problems/shortest-path-to-get-food, 6
"",Binary,"Find the Duplicate Number","","",https://leetcode.com/problems/find-the-duplicate-number, 6
"",Heap,"Top K Frequent Words","","",https://leetcode.com/problems/top-k-frequent-words, 6
